composition_%GAPbBr3,bandgap_eV
0.000000000000000000e+00,1.604139715394566679e+00
2.000000000000000000e+00,1.618798955613577117e+00
4.000000000000000000e+00,1.610389610389610482e+00
6.000000000000000000e+00,1.625163826998689443e+00
8.000000000000000000e+00,1.635883905013192585e+00
1.000000000000000000e+01,1.646746347941567157e+00
1.200000000000000000e+01,1.659973226238286470e+00
nan,1.673414304993252388e+00
nan,1.703296703296703241e+00
nan,1.789321789321789424e+00
4.000000000000000000e+01,1.853512705530642846e+00
5.000000000000000000e+01,1.925465838509316852e+00
6.000000000000000000e+01,2.056384742951907096e+00
7.000000000000000000e+01,2.152777777777777679e+00
8.000000000000000000e+01,2.218246869409659983e+00
